date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:01:09	18013/18013	---M--	200	added ('OK')	image/png	etag:%225eecd0aa-465d%22	https://grupo-evolucion.webnode.es/_files/200000030-7ab247ab26/200/logo%20g2-8.png	C:/Users/51982/Documents/Camtasia%20Studio/afarensis/evo2/grupo-evolucion.webnode.es/_files/200000030-7ab247ab26/200/logo%20g2-8.png	(from https://grupo-evolucion.webnode.es/metodos-de-ensenanza/)
19:01:10	61574/61574	---M--	200	added ('OK')	image/jpeg	etag:%225eecccec-f086%22	https://grupo-evolucion.webnode.es/_files/200000027-2a8ac2a8ae/200/Tecnologia-textil-industria-de-la-moda-digital-gabrielfariasiribarren.com_-1.jpg	C:/Users/51982/Documents/Camtasia%20Studio/afarensis/evo2/grupo-evolucion.webnode.es/_files/200000027-2a8ac2a8ae/200/Tecnologia-textil-industria-de-la-moda-digital-gabrielfariasiribarren.com_-1.jpg	(from https://grupo-evolucion.webnode.es/metodos-de-ensenanza/)
19:01:10	56046/56046	---M--	200	added ('OK')	image/jpeg	etag:%225eecc845-daee%22	https://grupo-evolucion.webnode.es/_files/200000019-5a6735a675/700/9a.jpg	C:/Users/51982/Documents/Camtasia%20Studio/afarensis/evo2/grupo-evolucion.webnode.es/_files/200000019-5a6735a675/700/9a.jpg	(from https://grupo-evolucion.webnode.es/instrumentos/)
19:01:10	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2020%20Jun%202020%2000:01:10%20GMT	https://grupo-evolucion.webnode.es/instrumentos/wnd_header.set	C:/Users/51982/Documents/Camtasia%20Studio/afarensis/evo2/grupo-evolucion.webnode.es/instrumentos/wnd_header.set	(from https://grupo-evolucion.webnode.es/instrumentos/)
19:01:11	21309/21309	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2020%20Jun%202020%2000:01:10%20GMT	https://grupo-evolucion.webnode.es/instrumentos/wnd_header.set/	C:/Users/51982/Documents/Camtasia%20Studio/afarensis/evo2/grupo-evolucion.webnode.es/instrumentos/wnd_header.set/index.html	(from https://grupo-evolucion.webnode.es/instrumentos/)
19:01:11	129284/129284	---M--	200	added ('OK')	image/png	etag:%225eeccb4d-1f904%22	https://grupo-evolucion.webnode.es/_files/200000022-b7d7db7d7f/450/miniatura-python.png	C:/Users/51982/Documents/Camtasia%20Studio/afarensis/evo2/grupo-evolucion.webnode.es/_files/200000022-b7d7db7d7f/450/miniatura-python.png	(from https://grupo-evolucion.webnode.es/instrumentos/)
19:01:12	14426/14426	---M--	200	added ('OK')	image/jpeg	etag:%225eecc845-385a%22	https://grupo-evolucion.webnode.es/_files/200000019-5a6735a675/200/9a.jpg	C:/Users/51982/Documents/Camtasia%20Studio/afarensis/evo2/grupo-evolucion.webnode.es/_files/200000019-5a6735a675/200/9a.jpg	(from https://grupo-evolucion.webnode.es/instrumentos/)
19:01:12	17265/17265	---M--	200	added ('OK')	image/png	etag:%225eed056d-4371%22	https://grupo-evolucion.webnode.es/_files/200000031-03d2703d29/200/%c3%adndice.png	C:/Users/51982/Documents/Camtasia%20Studio/afarensis/evo2/grupo-evolucion.webnode.es/_files/200000031-03d2703d29/200/%c3%adndice.png	(from https://grupo-evolucion.webnode.es/instrumentos/)
19:01:12	15699/15699	---M--	200	added ('OK')	image/png	etag:%225eed0663-3d53%22	https://grupo-evolucion.webnode.es/_files/200000033-0211f02121/200/img-principal-css3-viewport-units-1.png	C:/Users/51982/Documents/Camtasia%20Studio/afarensis/evo2/grupo-evolucion.webnode.es/_files/200000033-0211f02121/200/img-principal-css3-viewport-units-1.png	(from https://grupo-evolucion.webnode.es/instrumentos/)
19:01:12	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2020%20Jun%202020%2000:01:12%20GMT	https://grupo-evolucion.webnode.es/contacto/wnd_header.set	C:/Users/51982/Documents/Camtasia%20Studio/afarensis/evo2/grupo-evolucion.webnode.es/contacto/wnd_header.set	(from https://grupo-evolucion.webnode.es/contacto/)
19:01:13	21309/21309	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2020%20Jun%202020%2000:01:13%20GMT	https://grupo-evolucion.webnode.es/contacto/wnd_header.set/	C:/Users/51982/Documents/Camtasia%20Studio/afarensis/evo2/grupo-evolucion.webnode.es/contacto/wnd_header.set/index.html	(from https://grupo-evolucion.webnode.es/contacto/)
19:01:13	1/1	---M--	200	added ('OK')	text/plain	etag:%225ee802b1-1%22	https://use.typekit.net/robots.txt		(from https://use.typekit.net/lab8xti.css)
